2023-03-14 22:31:10.944 [main] INFO  calculator.Calculator - [SQ ROOT] - 16.0
2023-03-14 22:31:10.945 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 4.0
2023-03-14 22:31:10.945 [main] INFO  calculator.Calculator - [SQ ROOT] - 1.0
2023-03-14 22:31:10.945 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.0
2023-03-14 22:31:10.945 [main] INFO  calculator.Calculator - [SQ ROOT] - 81.0
2023-03-14 22:31:10.946 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 9.0
2023-03-14 22:31:10.946 [main] INFO  calculator.Calculator - [SQ ROOT] - 36.0
2023-03-14 22:31:10.946 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 6.0
2023-03-14 22:31:10.946 [main] INFO  calculator.Calculator - [SQ ROOT] - 3.0
2023-03-14 22:31:10.947 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-14 22:31:10.947 [main] INFO  calculator.Calculator - [SQ ROOT] - 4.0
2023-03-14 22:31:10.947 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 2.0
2023-03-14 22:31:10.947 [main] INFO  calculator.Calculator - [SQ ROOT] - 81.0
2023-03-14 22:31:10.947 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 9.0
2023-03-14 22:31:10.948 [main] INFO  calculator.Calculator - [SQ ROOT] - 36.0
2023-03-14 22:31:10.948 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 6.0
2023-03-14 22:31:10.949 [main] INFO  calculator.Calculator - [NATURAL LOG] - 1.0
2023-03-14 22:31:10.949 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.0
2023-03-14 22:31:10.951 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-14 22:31:10.951 [main] INFO  calculator.Calculator - [RESULT - POWER] - 8.0
2023-03-14 22:31:10.951 [main] INFO  calculator.Calculator - [POWER - 3.0 RAISED TO] 3.0
2023-03-14 22:31:10.952 [main] INFO  calculator.Calculator - [RESULT - POWER] - 27.0
2023-03-14 22:31:10.952 [main] INFO  calculator.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-14 22:31:10.952 [main] INFO  calculator.Calculator - [RESULT - POWER] - 64.0
2023-03-14 22:31:10.952 [main] INFO  calculator.Calculator - [POWER - 5.0 RAISED TO] 3.0
2023-03-14 22:31:10.952 [main] INFO  calculator.Calculator - [RESULT - POWER] - 125.0
2023-03-14 22:31:10.953 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-14 22:31:10.953 [main] INFO  calculator.Calculator - [RESULT - POWER] - 8.0
2023-03-14 22:31:10.953 [main] INFO  calculator.Calculator - [POWER - 1.0 RAISED TO] 3.0
2023-03-14 22:31:10.953 [main] INFO  calculator.Calculator - [RESULT - POWER] - 1.0
2023-03-14 22:31:10.953 [main] INFO  calculator.Calculator - [POWER - 3.0 RAISED TO] 4.0
2023-03-14 22:31:10.954 [main] INFO  calculator.Calculator - [RESULT - POWER] - 81.0
2023-03-14 22:31:10.954 [main] INFO  calculator.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-14 22:31:10.954 [main] INFO  calculator.Calculator - [RESULT - POWER] - 64.0
2023-03-14 22:31:10.954 [main] INFO  calculator.Calculator - [POWER - 5.0 RAISED TO] 2.0
2023-03-14 22:31:10.954 [main] INFO  calculator.Calculator - [RESULT - POWER] - 25.0
2023-03-14 22:31:10.955 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.4
2023-03-14 22:31:10.955 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-14 22:31:10.955 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.1
2023-03-14 22:31:10.955 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
